#TYPE System.Management.Automation.PSCustomObject
"Codepoint"	"HtmlEncode"	"XmlAttributeEncode"	"XmlEncode"
"U+0000"	"&#0;"	"&#0;"	"&#0;"
"U+0001"	"&#1;"	"&#1;"	"&#1;"
"U+0002"	"&#2;"	"&#2;"	"&#2;"
"U+0003"	"&#3;"	"&#3;"	"&#3;"
"U+0004"	"&#4;"	"&#4;"	"&#4;"
"U+0005"	"&#5;"	"&#5;"	"&#5;"
"U+0006"	"&#6;"	"&#6;"	"&#6;"
"U+0007"	"&#7;"	"&#7;"	"&#7;"
"U+0008"	"&#8;"	"&#8;"	"&#8;"
"U+0009"	"&#9;"	"&#9;"	"&#9;"
"U+000A"	"&#10;"	"&#10;"	"&#10;"
"U+000B"	"&#11;"	"&#11;"	"&#11;"
"U+000C"	"&#12;"	"&#12;"	"&#12;"
"U+000D"	"&#13;"	"&#13;"	"&#13;"
"U+000E"	"&#14;"	"&#14;"	"&#14;"
"U+000F"	"&#15;"	"&#15;"	"&#15;"
"U+0010"	"&#16;"	"&#16;"	"&#16;"
"U+0011"	"&#17;"	"&#17;"	"&#17;"
"U+0012"	"&#18;"	"&#18;"	"&#18;"
"U+0013"	"&#19;"	"&#19;"	"&#19;"
"U+0014"	"&#20;"	"&#20;"	"&#20;"
"U+0015"	"&#21;"	"&#21;"	"&#21;"
"U+0016"	"&#22;"	"&#22;"	"&#22;"
"U+0017"	"&#23;"	"&#23;"	"&#23;"
"U+0018"	"&#24;"	"&#24;"	"&#24;"
"U+0019"	"&#25;"	"&#25;"	"&#25;"
"U+001A"	"&#26;"	"&#26;"	"&#26;"
"U+001B"	"&#27;"	"&#27;"	"&#27;"
"U+001C"	"&#28;"	"&#28;"	"&#28;"
"U+001D"	"&#29;"	"&#29;"	"&#29;"
"U+001E"	"&#30;"	"&#30;"	"&#30;"
"U+001F"	"&#31;"	"&#31;"	"&#31;"
"U+0020"	"␠"	"&#32;"	"␠"
"U+0021"	"!"	"!"	"!"
"U+0022"	"&quot;"	"&quot;"	"&quot;"
"U+0023"	"#"	"#"	"#"
"U+0024"	"$"	"$"	"$"
"U+0025"	"%"	"%"	"%"
"U+0026"	"&amp;"	"&amp;"	"&amp;"
"U+0027"	"&#39;"	"&apos;"	"&apos;"
"U+0028"	"("	"("	"("
"U+0029"	")"	")"	")"
"U+002A"	"*"	"*"	"*"
"U+002B"	"+"	"+"	"+"
"U+002C"	","	","	","
"U+002D"	"-"	"-"	"-"
"U+002E"	"."	"."	"."
"U+002F"	"/"	"/"	"/"
"U+0030"	"0"	"0"	"0"
"U+0031"	"1"	"1"	"1"
"U+0032"	"2"	"2"	"2"
"U+0033"	"3"	"3"	"3"
"U+0034"	"4"	"4"	"4"
"U+0035"	"5"	"5"	"5"
"U+0036"	"6"	"6"	"6"
"U+0037"	"7"	"7"	"7"
"U+0038"	"8"	"8"	"8"
"U+0039"	"9"	"9"	"9"
"U+003A"	":"	":"	":"
"U+003B"	";"	";"	";"
"U+003C"	"&lt;"	"&lt;"	"&lt;"
"U+003D"	"="	"="	"="
"U+003E"	"&gt;"	"&gt;"	"&gt;"
"U+003F"	"?"	"?"	"?"
"U+0040"	"@"	"@"	"@"
"U+0041"	"A"	"A"	"A"
"U+0042"	"B"	"B"	"B"
"U+0043"	"C"	"C"	"C"
"U+0044"	"D"	"D"	"D"
"U+0045"	"E"	"E"	"E"
"U+0046"	"F"	"F"	"F"
"U+0047"	"G"	"G"	"G"
"U+0048"	"H"	"H"	"H"
"U+0049"	"I"	"I"	"I"
"U+004A"	"J"	"J"	"J"
"U+004B"	"K"	"K"	"K"
"U+004C"	"L"	"L"	"L"
"U+004D"	"M"	"M"	"M"
"U+004E"	"N"	"N"	"N"
"U+004F"	"O"	"O"	"O"
"U+0050"	"P"	"P"	"P"
"U+0051"	"Q"	"Q"	"Q"
"U+0052"	"R"	"R"	"R"
"U+0053"	"S"	"S"	"S"
"U+0054"	"T"	"T"	"T"
"U+0055"	"U"	"U"	"U"
"U+0056"	"V"	"V"	"V"
"U+0057"	"W"	"W"	"W"
"U+0058"	"X"	"X"	"X"
"U+0059"	"Y"	"Y"	"Y"
