Codepoint	Escape	Encode	HtmlEncode
U+0000	␀	&#x0;	␀
U+0001	␁	&#x1;	␁
U+0002	␂	&#x2;	␂
U+0003	␃	&#x3;	␃
U+0004	␄	&#x4;	␄
U+0005	␅	&#x5;	␅
U+0006	␆	&#x6;	␆
U+0007	␇	&#x7;	␇
U+0008	␈	&#x8;	␈
U+0009	␉	&#x9;	␉
U+000A	␊	&#xA;	␊
U+000B	␋	&#xB;	␋
U+000C	␌	&#xC;	␌
U+000D	␍	&#xD;	␍
U+000E	␎	&#xE;	␎
U+000F	␏	&#xF;	␏
U+0010	␐	&#x10;	␐
U+0011	␑	&#x11;	␑
U+0012	␒	&#x12;	␒
U+0013	␓	&#x13;	␓
U+0014	␔	&#x14;	␔
U+0015	␕	&#x15;	␕
U+0016	␖	&#x16;	␖
U+0017	␗	&#x17;	␗
U+0018	␘	&#x18;	␘
U+0019	␙	&#x19;	␙
U+001A	␚	&#x1A;	␚
U+001B	␛	&#x1B;	␛
U+001C	␜	&#x1C;	␜
U+001D	␝	&#x1D;	␝
U+001E	␞	&#x1E;	␞
U+001F	␟	&#x1F;	␟
U+0020	␠	␠	␠
U+0021	!	!	!
U+0022	&quot;	&quot;	&quot;
U+0023	#	#	#
U+0024	$	$	$
U+0025	%	%	%
U+0026	&amp;	&amp;	&amp;
U+0027	&apos;	&#x27;	&#39;
U+0028	(	(	(
U+0029	)	)	)
U+002A	*	*	*
U+002B	+	&#x2B;	+
U+002C	,	,	,
U+002D	-	-	-
U+002E	.	.	.
U+002F	/	/	/
U+0030	0	0	0
U+0031	1	1	1
U+0032	2	2	2
U+0033	3	3	3
U+0034	4	4	4
U+0035	5	5	5
U+0036	6	6	6
U+0037	7	7	7
U+0038	8	8	8
U+0039	9	9	9
U+003A	:	:	:
U+003B	;	;	;
U+003C	&lt;	&lt;	&lt;
U+003D	=	=	=
U+003E	&gt;	&gt;	&gt;
U+003F	?	?	?
U+0040	@	@	@
U+0041	A	A	A
U+0042	B	B	B
U+0043	C	C	C
U+0044	D	D	D
U+0045	E	E	E
U+0046	F	F	F
U+0047	G	G	G
U+0048	H	H	H
U+0049	I	I	I
U+004A	J	J	J
U+004B	K	K	K
U+004C	L	L	L
U+004D	M	M	M
U+004E	N	N	N
U+004F	O	O	O
U+0050	P	P	P
U+0051	Q	Q	Q
U+0052	R	R	R
U+0053	S	S	S
U+0054	T	T	T
U+0055	U	U	U
U+0056	V	V	V
U+0057	W	W	W
U+0058	X	X	X
U+0059	Y	Y	Y
U+005A	Z	Z	Z
U+005B	[	[	[
U+005C	\	\	\
U+005D	]	]	]
U+005E	^	^	^
U+005F	_	_	_
U+0060	`	`	`
U+0061	a	a	a
U+0062	b	b	b
U+0063	c	c	c
U+0064	d	d	d
